int(self),self.cycle,highest_counter,faulty_transporter,faulty_transporter = highest_counter,average_com_range,init_com_radius,length(transporter),average_ties
200,2007,transporter(12),transporter(12),true,29.147999999999104,25.0,50,5.26
201,1965,transporter(12),transporter(12),true,59.475999999997796,25.0,50,9.08
202,1617,transporter(12),transporter(12),true,27.22199999999912,25.0,50,5.68
203,2426,transporter(12),transporter(12),true,41.331999999998516,25.0,50,6.72
204,1046,transporter(12),transporter(12),true,18.735999999999606,25.0,50,2.82
205,1126,transporter(12),transporter(12),true,28.70799999999929,25.0,50,5.12
206,996,transporter(12),transporter(12),true,25.003999999999497,25.0,50,4.16
207,2310,transporter(12),transporter(12),true,30.195999999999017,25.0,50,7.68
208,3749,transporter(12),transporter(12),true,37.494,25.0,50,6.06
209,1775,transporter(12),transporter(12),true,15.859999999999518,25.0,50,5.24
210,3375,transporter(12),transporter(12),true,70.2620000000009,25.0,50,7.2
211,1965,transporter(12),transporter(12),true,63.6819999999978,25.0,50,6.1
212,3017,transporter(12),transporter(12),true,65.17999999999974,25.0,50,6.82
213,3025,transporter(12),transporter(12),true,48.37800000000003,25.0,50,7.06
214,2772,transporter(12),transporter(12),true,37.50799999999854,25.0,50,5.8
215,2240,transporter(12),transporter(12),true,31.551999999998884,25.0,50,5.86
216,1974,transporter(12),transporter(12),true,32.05399999999886,25.0,50,6.94
217,2356,transporter(12),transporter(12),true,46.64799999999828,25.0,50,7.48
218,1849,transporter(12),transporter(12),true,19.435999999999314,25.0,50,5.2
219,1642,transporter(12),transporter(12),true,25.08599999999925,25.0,50,4.82
220,1502,transporter(12),transporter(12),true,36.07199999999888,25.0,50,5.24
221,1730,transporter(12),transporter(12),true,39.837999999998665,25.0,50,5.96
222,3379,transporter(12),transporter(12),true,36.337999999999816,25.0,50,7.04
223,2462,transporter(12),transporter(12),true,40.24399999999852,25.0,50,6.12
224,1597,transporter(12),transporter(12),true,27.33199999999912,25.0,50,6.1
225,1564,transporter(12),transporter(12),true,46.15399999999856,25.0,50,7.24
226,3746,transporter(12),transporter(12),true,36.1880000000007,25.0,50,6.32
227,1475,transporter(12),transporter(12),true,34.41999999999907,25.0,50,6.32
228,3778,transporter(12),transporter(12),true,37.93200000000062,25.0,50,5.86
229,2231,transporter(12),transporter(12),true,36.04199999999862,25.0,50,6.86
230,2134,transporter(12),transporter(12),true,46.435999999998295,25.0,50,6.42
231,2976,transporter(12),transporter(12),true,48.09199999999997,25.0,50,6.02
232,3393,transporter(12),transporter(12),true,42.71999999999964,25.0,50,5.64
233,1622,transporter(12),transporter(12),true,34.919999999998936,25.0,50,5.44
234,3230,transporter(12),transporter(12),true,73.27000000000159,25.0,50,7.44
235,2227,transporter(12),transporter(12),true,35.37799999999866,25.0,50,6.12
236,3797,transporter(12),transporter(12),true,32.6519999999999,25.0,50,5.16
237,2369,transporter(12),transporter(12),true,46.30999999999836,25.0,50,8.76
238,1947,transporter(12),transporter(12),true,19.55999999999931,25.0,50,5.7
239,1009,transporter(12),transporter(12),true,11.695999999999753,25.0,50,2.64
240,4724,transporter(12),transporter(12),true,37.494,25.0,50,6.36
241,3924,transporter(12),transporter(12),true,36.44200000000043,25.0,50,5.04
242,2930,transporter(12),transporter(12),true,27.535999999999525,25.0,50,5.32
243,2675,transporter(12),transporter(12),true,42.82799999999881,25.0,50,7.26
244,1497,transporter(12),transporter(12),true,15.64599999999953,25.0,50,4.5
245,2670,transporter(12),transporter(12),true,59.4579999999987,25.0,50,7.44
246,991,transporter(12),transporter(12),true,12.793999999999826,25.0,50,3.6
247,1957,transporter(12),transporter(12),true,45.53199999999834,25.0,50,7.2
248,3557,transporter(12),transporter(12),true,54.47400000000142,25.0,50,6.8
249,3011,transporter(12),transporter(12),true,30.900000000000173,25.0,50,6.8
250,3134,transporter(12),transporter(12),true,40.20599999999936,25.0,50,6.82
251,2305,transporter(12),transporter(12),true,23.26799999999911,25.0,50,7.44
252,2100,transporter(12),transporter(12),true,27.31999999999912,25.0,50,5.32
253,5026,transporter(12),transporter(12),true,81.87399999999987,25.0,50,8.86
254,3839,transporter(12),transporter(12),true,69.67399999999999,25.0,50,5.98
255,807,transporter(12),transporter(12),true,11.927999999999818,25.0,50,3.52
256,1264,transporter(12),transporter(12),true,22.149999999999412,25.0,50,4.86
257,3772,transporter(12),transporter(12),true,37.00800000000023,25.0,50,6.42
258,2809,transporter(12),transporter(12),true,45.38599999999937,25.0,50,6.0
259,5180,transporter(12),transporter(12),true,52.593999999999205,25.0,50,6.98
260,1191,transporter(12),transporter(12),true,26.645999999999407,25.0,50,5.18
261,2540,transporter(12),transporter(12),true,38.49999999999858,25.0,50,6.94
262,1983,transporter(12),transporter(12),true,58.317999999997866,25.0,50,6.64
263,2149,transporter(12),transporter(12),true,32.1899999999991,25.0,50,4.84
264,1590,transporter(12),transporter(12),true,35.92199999999888,25.0,50,5.24
265,1733,transporter(12),transporter(12),true,39.1379999999987,25.0,50,5.02
266,6171,transporter(12),transporter(12),true,37.49400000000001,25.0,50,6.74
267,2249,transporter(12),transporter(12),true,27.573999999999092,25.0,50,5.2
268,3325,transporter(12),transporter(12),true,30.036000000000296,25.0,50,6.52
269,1386,transporter(12),transporter(12),true,24.03599999999931,25.0,50,5.18
270,8179,transporter(12),transporter(12),true,37.46399999999999,25.0,50,7.56
271,761,transporter(12),transporter(12),true,14.651999999999838,25.0,50,3.32
272,475,transporter(12),transporter(12),true,9.102000000000054,25.0,50,2.3
273,4449,transporter(12),transporter(12),true,37.49400000000001,25.0,50,5.76
274,2718,transporter(12),transporter(12),true,58.33799999999829,25.0,50,5.96
275,2169,transporter(12),transporter(12),true,30.513999999998937,25.0,50,6.7
276,1889,transporter(12),transporter(12),true,48.56599999999842,25.0,50,5.96
277,2869,transporter(12),transporter(12),true,44.07599999999879,25.0,50,5.94
278,1653,transporter(12),transporter(12),true,34.55599999999896,25.0,50,7.3
279,2489,transporter(12),transporter(12),true,25.069999999999137,25.0,50,4.24
280,2261,transporter(12),transporter(12),true,31.54799999999904,25.0,50,7.66
281,4550,transporter(12),transporter(12),true,124.5459999999993,25.0,50,8.12
282,1739,transporter(12),transporter(12),true,28.051999999999076,25.0,50,4.7
283,2163,transporter(12),transporter(12),true,35.89199999999863,25.0,50,6.2
284,2280,transporter(12),transporter(12),true,22.70999999999913,25.0,50,4.28
285,1723,transporter(12),transporter(12),true,40.881999999998605,25.0,50,6.24
286,1805,transporter(12),transporter(12),true,26.127999999999187,25.0,50,4.3
287,5888,transporter(12),transporter(12),true,37.49400000000001,25.0,50,7.72
288,3768,transporter(12),transporter(12),true,52.646000000001,25.0,50,6.84
289,3055,transporter(12),transporter(12),true,29.831999999999926,25.0,50,5.58
290,3645,transporter(12),transporter(12),true,76.32200000000194,25.0,50,8.5
291,1373,transporter(12),transporter(12),true,21.101999999999475,25.0,50,4.64
292,6371,transporter(12),transporter(12),true,37.48199999999999,25.0,50,5.58
293,2884,transporter(12),transporter(12),true,29.53999999999986,25.0,50,5.36
294,2785,transporter(12),transporter(12),true,56.463999999998215,25.0,50,6.44
295,2223,transporter(12),transporter(12),true,49.91799999999808,25.0,50,7.26
296,2429,transporter(12),transporter(12),true,40.937999999998716,25.0,50,6.78
297,2777,transporter(12),transporter(12),true,60.21599999999866,25.0,50,6.64
298,2104,transporter(12),transporter(12),true,22.55999999999914,25.0,50,4.98
299,2151,transporter(12),transporter(12),true,45.031999999998604,25.0,50,6.96
300,3139,transporter(12),transporter(12),true,31.73200000000039,50.0,50,6.6
301,1939,transporter(12),transporter(12),true,22.907999999999237,50.0,50,6.28
302,3035,transporter(12),transporter(12),true,31.86599999999934,50.0,50,6.3
303,5975,transporter(12),transporter(12),true,37.49400000000001,50.0,50,6.92
304,1160,transporter(12),transporter(12),true,19.957999999999707,50.0,50,5.02
305,4919,transporter(12),transporter(12),true,31.179999999999758,50.0,50,5.82
306,1483,transporter(12),transporter(12),true,21.941999999999492,50.0,50,5.34
307,7069,transporter(12),transporter(12),true,59.91399999999999,50.0,50,8.18
308,2064,transporter(12),transporter(12),true,30.025999999999527,50.0,50,4.5
309,7315,transporter(12),transporter(12),true,41.71799999999958,50.0,50,7.24
310,6400,transporter(12),transporter(12),true,37.494,50.0,50,6.44
311,3804,transporter(12),transporter(12),true,42.37399999999974,50.0,50,6.84
312,1071,transporter(12),transporter(12),true,18.67199999999971,50.0,50,5.02
313,4256,transporter(12),transporter(12),true,47.69399999999936,50.0,50,6.62
314,1849,transporter(12),transporter(12),true,30.3779999999997,50.0,50,4.14
315,2052,transporter(12),transporter(12),true,34.28199999999867,50.0,50,7.42
316,7396,transporter(12),transporter(12),true,42.329999999999906,50.0,50,6.26
317,1073,transporter(12),transporter(12),true,24.04799999999961,50.0,50,4.58
318,1913,transporter(12),transporter(12),true,21.409999999999435,50.0,50,4.72
319,3327,transporter(12),transporter(12),true,45.337999999999184,50.0,50,8.46
320,2887,transporter(12),transporter(12),true,34.63999999999925,50.0,50,7.1
321,1106,transporter(12),transporter(12),true,21.973999999999716,50.0,50,3.9
322,4367,transporter(12),transporter(12),true,36.681999999999796,50.0,50,6.34
323,8030,transporter(12),transporter(12),true,33.743999999999225,50.0,50,7.02
324,3436,transporter(12),transporter(12),true,50.535999999999824,50.0,50,8.18
325,3698,transporter(12),transporter(12),true,42.96199999999944,50.0,50,7.3
326,996,transporter(12),transporter(12),true,24.493999999999783,50.0,50,4.14
327,2839,transporter(12),transporter(12),true,44.99199999999885,50.0,50,7.12
328,2262,transporter(12),transporter(12),true,42.13599999999864,50.0,50,6.36
329,2260,transporter(12),transporter(12),true,39.4739999999986,50.0,50,6.76
330,223,transporter(12),transporter(12),true,43.753999999999905,50.0,50,3.28
331,3936,transporter(12),transporter(12),true,59.188000000000144,50.0,50,7.36
332,790,transporter(12),transporter(12),true,19.655999999999764,50.0,50,4.34
333,2412,transporter(12),transporter(12),true,17.809999999999537,50.0,50,4.56
334,5491,transporter(12),transporter(12),true,49.72799999999938,50.0,50,6.38
335,1365,transporter(12),transporter(12),true,21.81399999999964,50.0,50,4.0
336,5109,transporter(12),transporter(12),true,24.69800000000003,50.0,50,5.72
337,5360,transporter(12),transporter(12),true,37.49400000000001,50.0,50,7.3
338,928,transporter(12),transporter(12),true,27.53399999999954,50.0,50,4.66
339,1563,transporter(12),transporter(12),true,23.455999999999655,50.0,50,4.32
340,5465,transporter(12),transporter(12),true,31.176000000000105,50.0,50,6.14
341,3868,transporter(12),transporter(12),true,34.759999999999756,50.0,50,6.72
342,5363,transporter(12),transporter(12),true,37.01799999999967,50.0,50,5.52
343,2273,transporter(12),transporter(12),true,42.457999999998435,50.0,50,5.52
344,8733,transporter(12),transporter(12),true,37.494,50.0,50,7.52
345,1391,transporter(12),transporter(12),true,20.893999999999426,50.0,50,4.66
346,2915,transporter(12),transporter(12),true,21.391999999999204,50.0,50,5.78
347,3722,transporter(12),transporter(12),true,35.19200000000045,50.0,50,7.08
348,2098,transporter(12),transporter(12),true,26.665999999999098,50.0,50,6.0
349,2322,transporter(12),transporter(12),true,37.227999999999476,50.0,50,4.98
350,3784,transporter(12),transporter(12),true,71.24799999999976,50.0,50,8.84
351,1261,transporter(12),transporter(12),true,41.87799999999893,50.0,50,6.16
352,3300,transporter(12),transporter(12),true,36.690000000000936,50.0,50,7.14
353,4453,transporter(12),transporter(12),true,32.38400000000006,50.0,50,6.6
354,4822,transporter(12),transporter(12),true,32.399999999999594,50.0,50,5.0
355,2289,transporter(12),transporter(12),true,60.615999999997776,50.0,50,7.94
356,2645,transporter(12),transporter(12),true,23.467999999999133,50.0,50,5.36
357,1546,transporter(12),transporter(12),true,27.911999999999757,50.0,50,4.12
358,1220,transporter(12),transporter(12),true,23.845999999999712,50.0,50,3.86
359,2710,transporter(12),transporter(12),true,25.24999999999915,50.0,50,6.0
360,4370,transporter(12),transporter(12),true,36.35600000000072,50.0,50,6.8
361,2577,transporter(12),transporter(12),true,46.163999999998296,50.0,50,7.0
362,1256,transporter(12),transporter(12),true,22.161999999999797,50.0,50,3.92
363,2338,transporter(12),transporter(12),true,26.21999999999922,50.0,50,5.54
364,1841,transporter(12),transporter(12),true,21.791999999999444,50.0,50,4.84
365,5906,transporter(12),transporter(12),true,50.80400000000006,50.0,50,6.98
366,1790,transporter(12),transporter(12),true,31.169999999999117,50.0,50,5.42
367,1563,transporter(12),transporter(12),true,37.629999999998724,50.0,50,7.16
368,7534,transporter(12),transporter(12),true,37.488,50.0,50,6.5
369,3681,transporter(12),transporter(12),true,54.688000000001075,50.0,50,7.84
370,1503,transporter(12),transporter(12),true,40.51799999999877,50.0,50,7.6
371,7180,transporter(12),transporter(12),true,38.799999999998406,50.0,50,6.0
372,3452,transporter(12),transporter(12),true,47.71199999999885,50.0,50,8.5
373,1010,transporter(12),transporter(12),true,20.61999999999976,50.0,50,4.36
374,5090,transporter(12),transporter(12),true,37.494,50.0,50,6.88
375,2252,transporter(12),transporter(12),true,23.62399999999906,50.0,50,5.36
376,267,transporter(12),transporter(12),true,38.217999999999805,50.0,50,3.62
377,2216,transporter(12),transporter(12),true,38.203999999998494,50.0,50,7.22
378,2040,transporter(12),transporter(12),true,50.785999999998175,50.0,50,8.22
379,8240,transporter(12),transporter(12),true,36.82799999999811,50.0,50,7.12
380,5668,transporter(12),transporter(12),true,37.494,50.0,50,7.5
381,2675,transporter(12),transporter(12),true,32.99599999999889,50.0,50,6.88
382,1815,transporter(12),transporter(12),true,22.561999999999472,50.0,50,6.18
383,9215,transporter(12),transporter(12),true,37.48199999999999,50.0,50,6.12
384,1217,transporter(12),transporter(12),true,15.42599999999963,50.0,50,4.52
385,928,transporter(12),transporter(12),true,18.807999999999744,50.0,50,5.24
386,3296,transporter(12),transporter(12),true,33.661999999999836,50.0,50,8.1
387,2212,transporter(12),transporter(12),true,22.543999999999382,50.0,50,6.1
388,3681,transporter(12),transporter(12),true,41.35800000000009,50.0,50,8.0
389,4338,transporter(12),transporter(12),true,77.36600000000016,50.0,50,6.66
390,5000,transporter(12),transporter(12),true,37.49400000000001,50.0,50,7.26
391,6648,transporter(12),transporter(12),true,37.433999999999976,50.0,50,7.12
392,2590,transporter(12),transporter(12),true,37.777999999998954,50.0,50,8.54
393,405,transporter(12),transporter(12),true,30.64199999999965,50.0,50,3.32
394,4729,transporter(12),transporter(12),true,44.48399999999986,50.0,50,7.34
395,3679,transporter(12),transporter(12),true,49.136000000000195,50.0,50,6.42
396,3302,transporter(12),transporter(12),true,41.95399999999956,50.0,50,7.88
397,1612,transporter(12),transporter(12),true,30.279999999999763,50.0,50,4.94
398,1470,transporter(12),transporter(12),true,14.677999999999665,50.0,50,5.0
399,2660,transporter(12),transporter(12),true,21.24199999999948,50.0,50,5.3
